State,District,Subdistt,Town/Village,Ward,Ward_Alphabet,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
27,519,99999,802794,0522,E,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0522,Urban,18125,88149,49531,38618,9034,4667,4367,4089,2229,1860,1089,579,510,66086,38415,27671,22063,11116,10947,36853,30961,5892,34051,29300,4751,72,53,19,74,55,19,778,594,184,33127,28598,4529,2802,1661,1141,36,24,12,14,7,7,100,53,47,2652,1577,1075,2335,1352,983,34,23,11,13,6,7,80,37,43,2208,1286,922,467,309,158,2,1,1,1,1,0,20,16,4,444,291,153,51296,18570,32726
27,519,99999,802794,0523,E,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0523,Urban,12336,57232,30411,26821,4475,2296,2179,3184,1625,1559,501,266,235,49350,26737,22613,7882,3674,4208,23671,18482,5189,22241,17692,4549,63,33,30,77,56,21,606,472,134,21495,17131,4364,1430,790,640,38,20,18,10,6,4,50,21,29,1332,743,589,1190,641,549,35,18,17,6,2,4,39,17,22,1110,604,506,240,149,91,3,2,1,4,4,0,11,4,7,222,139,83,33561,11929,21632
27,519,99999,802794,0524,E,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0524,Urban,4264,19851,9816,10035,1623,843,780,4134,2040,2094,112,61,51,16767,8526,8241,3084,1290,1794,7469,5323,2146,6896,5023,1873,33,14,19,33,21,12,139,91,48,6691,4897,1794,573,300,273,24,11,13,1,0,1,28,11,17,520,278,242,527,269,258,24,11,13,1,0,1,26,9,17,476,249,227,46,31,15,0,0,0,0,0,0,2,2,0,44,29,15,12382,4493,7889
27,519,99999,802794,0525,E,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0525,Urban,5943,32121,17602,14519,3222,1624,1598,243,127,116,22,17,5,25975,14302,11673,6146,3300,2846,11870,10282,1588,11018,9724,1294,28,21,7,107,96,11,699,633,66,10184,8974,1210,852,558,294,17,8,9,14,10,4,73,33,40,748,507,241,725,464,261,17,8,9,10,8,2,49,21,28,649,427,222,127,94,33,0,0,0,4,2,2,24,12,12,99,80,19,20251,7320,12931
27,519,99999,802794,0526,E,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0526,Urban,6842,35980,20185,15795,3668,1931,1737,2942,1446,1496,305,166,139,27050,16045,11005,8930,4140,4790,14328,12126,2202,13180,11478,1702,49,34,15,44,31,13,907,711,196,12180,10702,1478,1148,648,500,17,11,6,11,5,6,89,34,55,1031,598,433,861,559,302,17,11,6,3,2,1,67,25,42,774,521,253,287,89,198,0,0,0,8,3,5,22,9,13,257,77,180,21652,8059,13593
27,519,99999,802794,0527,E,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0527,Urban,30836,159953,88522,71431,15177,8009,7168,7622,3835,3787,578,304,274,126980,70916,56064,32973,17606,15367,65468,53712,11756,61066,50900,10166,176,119,57,254,207,47,2617,2209,408,58019,48365,9654,4402,2812,1590,102,55,47,52,24,28,411,294,117,3837,2439,1398,3690,2278,1412,100,54,46,49,22,27,333,241,92,3208,1961,1247,712,534,178,2,1,1,3,2,1,78,53,25,629,478,151,94485,34810,59675
27,519,99999,802794,0628,F/S,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0628,Urban,24948,107563,55731,51832,7573,3952,3621,5711,2862,2849,539,257,282,94378,49749,44629,13185,5982,7203,42902,32118,10784,40930,31021,9909,125,79,46,221,189,32,1123,749,374,39461,30004,9457,1972,1097,875,91,46,45,12,9,3,97,41,56,1772,1001,771,1667,906,761,87,44,43,11,8,3,83,34,49,1486,820,666,305,191,114,4,2,2,1,1,0,14,7,7,286,181,105,64661,23613,41048
27,519,99999,802794,0629,F/S,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0629,Urban,35973,168063,90695,77368,16244,8701,7543,9279,4807,4472,1553,822,731,136532,76433,60099,31531,14262,17269,65009,51740,13269,60951,49146,11805,164,98,66,292,231,61,1791,1200,591,58704,47617,11087,4058,2594,1464,165,90,75,46,32,14,290,131,159,3557,2341,1216,3329,2149,1180,160,88,72,43,30,13,213,103,110,2913,1928,985,729,445,284,5,2,3,3,2,1,77,28,49,644,413,231,103054,38955,64099
27,519,99999,802794,0630,F/S,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0630,Urban,18812,85346,44313,41033,6700,3525,3175,11191,5488,5703,438,245,193,72133,38543,33590,13213,5770,7443,33300,25249,8051,31550,24140,7410,81,50,31,264,228,36,942,539,403,30263,23323,6940,1750,1109,641,73,36,37,22,17,5,126,55,71,1529,1001,528,1508,947,561,73,36,37,20,15,5,112,49,63,1303,847,456,242,162,80,0,0,0,2,2,0,14,6,8,226,154,72,52046,19064,32982
27,519,99999,802794,0731,F/N,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0731,Urban,11331,44768,22544,22224,2374,1269,1105,1424,715,709,147,88,59,40585,20386,20199,4183,2158,2025,18191,13279,4912,17833,13079,4754,28,25,3,33,22,11,351,223,128,17421,12809,4612,358,200,158,6,4,2,1,0,1,16,6,10,335,190,145,283,161,122,6,4,2,1,0,1,13,4,9,263,153,110,75,39,36,0,0,0,0,0,0,3,2,1,72,37,35,26577,9265,17312
